MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
4:Ins:R:5	0.010229128811671729	0.002957601308288158	0.0031821860197596055	0.003477971717264978	0.012448406090731293	0.007869206867498804
5:Ins:R:0	0.03885355586788961	0.001050978703335801	0.01979826998220048	0.0024859033687935116	0.015149717737841436	0.009341049541560746
5:Ins:R:1	0.011843463680095851	0.019461408397491484	0.011891791229892305	0.009305917170661147	0.015281066502269241	0.028247885160989358
5:Ins:R:2	0.004305845104512045	0.00013242922338698725	0.0010558515294468184	0.0010818360294519635	0.0019124627482825262	0.0047656179429880294
5:Ins:R:3	0.0005154027284552054	0.0008866881690497275	0.001105803569905972	0.0014848279364638372	0.0034217141622489857	0.0037444114855699697
5:Ins:R:4	0.00898405476928687	0.0012300449983454298	0.0012327509612436848	0.0012874313325249532	0.002363902153583197	0.0004879392591396225
5:Ins:R:5	0.0041372090214386505	0.0005409200620316312	0.000534964864033709	0.0012080270778569435	0.0015889836083388786	0.003252941017663886
2:Del:M:1	0.012906652640890854	0.018769774309349146	0.017072756585374976	0.08483839470427483	0.04400717127106873	0.09889088019857808
3:Del:M:1	0.016484968655644538	0.007750219577306688	0.007702824298176338	0.004483599971090459	0.005362308753795446	0.0012480939833701466
3:Del:M:2	0.009681289191835845	0.022350771652038758	0.0037516232168670794	0.017374853128948615	0.03649735664317689	0.01315128059350883
4:Del:M:1	0.0055849389226985124	0.00733776171569346	0.010529251821008358	0.005564912075737283	0.013962111143408222	0.004148513262116111
4:Del:M:2	0.0022613622971185167	0.0021705984470077678	0.0020673298351925017	0.014802041180474816	0.003540719389738536	0.012822605155694937
4:Del:M:3	0.007021740251940685	0.009128041544385557	0.0030279406440022784	0.019932527584142292	0.028335768464836306	0.00990049109501193
5:Del:M:1	0.07697844333596664	0.026971585650517795	0.03319751049430011	0.024570112377523826	0.02694525331526961	0.0019443407349727692
5:Del:M:2	0.06641491130064196	0.029167940520599355	0.045178564090377335	0.010591475231316282	0.005464065672722	0.0015362990456767988
5:Del:M:3	0.03564147941366315	0.002419275370007519	0.018815098446490878	0.01650778670229986	0.004817479501601554	0.001961271313166648
5:Del:M:4	0.017022912246444546	0.009466961823079725	0.006272230658075515	0.012788036673665295	0.008615125770720766	0.008149061409808525
5:Del:M:5	0.02275080541599891	0.007709329746170219	0.022903516347350175	0.0093800002836594	0.014310181355850915	0.038295280460706634
