MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TG>CA	0.006130142225770197	0.003029634539967878	0.0208561904893984	0.053061598587734696	0.023489941326156016
TG>CC	0.005501624731475374	2.3045518845776768e-05	3.0207255424556933e-05	0.00028229752322886273	3.2111710797835255e-05
TG>CT	0.03091384417041354	0.0026716804248793358	0.006945616670507065	0.007615227531470623	0.008071652836248973
TG>GA	0.006462284641510229	0.0017051148216714297	0.007085273551028877	0.007222005496960416	0.010164676009148934
TG>GC	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TG>GT	0.056155086510261756	0.030517757250206227	0.004635188893827262	0.006546210382715629	0.016382747683278395
TT>AA	0.027956024028085266	0.02036201352732939	0.011715809672948864	0.008338685421068907	0.027227162640689504
TT>AC	0.01059572494966929	0.0003170848557224559	0.004943480326523968	0.02335385711180834	0.00430515404556104
TT>AG	0.005486511878835003	0.00015831151658609599	0.0038991091220532325	0.020929883517193274	0.004394889619970854
TT>CA	0.005226308685748862	0.00021190900374740807	0.004293189641629169	0.019146443558308874	0.0037358262220971027
TT>CC	0.004939809860831304	4.1937845912229934e-05	3.075015308240836e-05	0.0002854076980042919	3.2068662599158414e-05
TT>CG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TT>GA	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TT>GC	2.5050220560274283e-06	6.091669182524129e-06	3.3291195168203556e-05	2.996559220036943e-05	3.555575628524821e-05
TT>GG	2.5050220560274283e-06	6.091669182524129e-06	3.3291195168203556e-05	2.996559220036943e-05	3.555575628524821e-05
