MutationType	ID83A	ID83B	ID83C	ID83D
3:Ins:R:4	0.0015358863301714897	0.00038013109104731766	0.0001770607193988738	0.00017163077307714048
3:Ins:R:5	0.00036650973749861036	0.0013889129651323629	0.0019896978083927762	0.0015434066910360756
4:Ins:R:0	0.004356996052575201	0.007133747195516693	0.0032550397880468564	0.009331490583730133
4:Ins:R:1	0.006763939396264291	0.005038216114823309	0.009505825978970393	0.002680759187194468
4:Ins:R:2	0.000588601462228695	0.0008467822162918192	0.0007934271637446066	0.00027150820538309974
4:Ins:R:3	0.0010101367893168634	0.0016387459911386237	0.0014670555874719505	0.0010538033023879123
4:Ins:R:4	0.004163743237102189	0.0020436590229084926	0.000927484890608099	0.000893453810350362
4:Ins:R:5	0.0064750653778799004	0.006281818975571234	0.003227822489164538	0.010590553429312876
5:Ins:R:0	0.0398297254352201	0.006764620669735706	0.0019225952005175006	0.010137031413666122
5:Ins:R:1	0.010651425511688946	0.011707069443112346	0.017271425498532268	0.023134052125214275
5:Ins:R:2	0.002979126713422966	0.0012642426235717963	0.00019577372921344315	0.004532025448719317
5:Ins:R:3	0.00048712609455320966	0.0017521853103399465	0.001634784195666299	0.003084255083583276
5:Ins:R:4	0.0065170301182653385	0.002368734552876752	0.0009105333429607044	0.0009419520610875942
5:Ins:R:5	0.0026390246764036716	0.0016690628905837812	0.0005237188922983904	0.0027119652898288395
2:Del:M:1	0.008545523877257323	0.06032193325033063	0.02104851321346871	0.09438745570867468
3:Del:M:1	0.015018490504018019	0.005276830516284452	0.006816116530580913	0.0016949612525128544
3:Del:M:2	0.005283707634019379	0.023721605792227363	0.01817537660777288	0.017259611510272322
4:Del:M:1	0.007304886874990757	0.009227916646409434	0.009132604128781878	0.004523472399896722
4:Del:M:2	0.0012378719434853025	0.009250233323627767	0.0016410194947943828	0.012838556290156759
4:Del:M:3	0.004945982300882505	0.020192790007620733	0.010699187950594862	0.012302769865499172
5:Del:M:1	0.06483728894012984	0.03695295577635505	0.024853946449941305	0.003980736965492151
5:Del:M:2	0.07211532403249293	0.015554014518421866	0.02269857846861491	0.0013164375243023584
5:Del:M:3	0.03416834531795729	0.013850983368141953	0.004058601858468549	0.0038682173618575888
5:Del:M:4	0.01325438824146829	0.013492774627383283	0.005480744507637985	0.009264827618496696
5:Del:M:5	0.024839204715099185	0.011593405635058077	0.011109683115081169	0.029760099654714055
