AID	Sample_ID	chr1p36	MeanL1methy	MeanL1HSmethy	cancerType
TCGA-DK-A1A6-06A	TCGA.DK.A1A6.06A	WT	0.666989341114258	0.67816107154652	TCGA-BLCA
TCGA-DK-A1A7-01A	TCGA.DK.A1A7.01A	WT	0.702707614596164	0.802507345265222	TCGA-BLCA
TCGA-DK-A1AA-01A	TCGA.DK.A1AA.01A	WT	0.546109298740291	0.801520431929145	TCGA-BLCA
TCGA-DK-A1AB-01A	TCGA.DK.A1AB.01A	WT	0.76208382459644	0.727663755696954	TCGA-BLCA
TCGA-DK-A1AC-01A	TCGA.DK.A1AC.01A	WT	0.645917051573589	0.662106003770305	TCGA-BLCA
TCGA-DK-A1AD-01A	TCGA.DK.A1AD.01A	WT	0.490020322492014	0.647241768764265	TCGA-BLCA
TCGA-DK-A1AE-01A	TCGA.DK.A1AE.01A	WT	0.625535129050506	0.69006147570736	TCGA-BLCA
TCGA-DK-A1AF-01A	TCGA.DK.A1AF.01A	WT	0.764969427333556	0.842966718169796	TCGA-BLCA
TCGA-DK-A1AG-01A	TCGA.DK.A1AG.01A	WT	0.639246813403554	0.789379240887751	TCGA-BLCA
TCGA-DK-A2HX-01A	TCGA.DK.A2HX.01A	WT	0.745334112062521	0.845585742281613	TCGA-BLCA
TCGA-DK-A2I1-01A	TCGA.DK.A2I1.01A	WT	0.576043734935869	0.698750124028164	TCGA-BLCA
TCGA-DK-A2I2-01A	TCGA.DK.A2I2.01A	WT	0.728788084906775	0.756397802863537	TCGA-BLCA
TCGA-DK-A2I4-01A	TCGA.DK.A2I4.01A	WT	0.722680259526038	0.819924934468712	TCGA-BLCA
TCGA-DK-A2I6-01A	TCGA.DK.A2I6.01A	WT	0.64031946249666	0.714967769512701	TCGA-BLCA
TCGA-DK-A3IK-01A	TCGA.DK.A3IK.01A	WT	0.64717710943765	0.780421171943597	TCGA-BLCA
TCGA-DK-A3IL-01A	TCGA.DK.A3IL.01A	WT	0.655119693259324	0.778378876434479	TCGA-BLCA
TCGA-DK-A3IM-01A	TCGA.DK.A3IM.01A	WT	0.699002385356422	0.74278148566938	TCGA-BLCA
TCGA-DK-A3IN-01A	TCGA.DK.A3IN.01A	WT	0.624364389402817	0.700446566495405	TCGA-BLCA
TCGA-DK-A3IQ-01A	TCGA.DK.A3IQ.01A	WT	0.708167355433177	0.83477002167383	TCGA-BLCA
