MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
TC>CA	0.004567772841491405	3.4455019316915304e-05	0.004710760011478925	0.0018550352129057047	0.016544021148858973	2.351367543838023e-05	0.00433937175447852	0.0026261925335955994	0.01937900588553371
TC>CG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
TC>CT	0.004425045097971916	0.01830972417260001	0.0051925911298531455	0.018687024834849998	0.028280342535058053	0.004081292215155128	0.006844843650800047	0.006657139726323356	0.22599973369962412
TC>GA	0.005344561400111161	9.495310756747699e-05	0.00014650001199072448	3.147963730043557e-05	2.7078035113845544e-05	2.9725377162321818e-05	8.769403198812143e-05	0.0003159224629573032	2.73503347091264e-05
TC>GG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
TC>GT	1.081711853333239e-06	0.0007309087996372704	0.0031134391157529463	0.011460222698083857	0.012890233003173162	0.025988309836206477	0.0655447851991739	0.007846327483742383	0.017956408021942913
TG>AA	0.015045302746302535	0.0007446004528744013	0.008372293216427042	0.004816485431933357	0.014845950725458117	0.009315326029109285	0.028818327192058176	0.022198572654372414	0.008492672633365865
TG>AC	4.0640851835398453e-05	9.721572344810754e-05	0.004923677300855441	0.002219308472650067	0.006362888212953321	0.021863724169807242	0.026492997392801105	0.014815641088909948	0.006888530287252583
TG>AT	0.03027722765984442	0.09817540863980508	0.01169262513069519	0.005262185557237908	0.029369504100587883	0.0019408944910703535	0.006600782441014264	0.0475869343789833	0.03392820627593793
TG>CA	0.00539879258775674	0.00035386342537136324	0.00938522463316649	0.007090130041137145	0.03655386386244772	0.016290893880388152	0.04927843205511218	0.021710180725503552	0.061894816104310024
TG>CC	0.0055331733577580165	8.935357669948019e-05	0.0005072095604555216	3.0926889121474235e-05	8.132383198611658e-05	2.98748976774732e-05	3.7231591981026214e-05	0.00018350428672931685	2.7548865988364922e-05
TG>CT	0.026943570668514667	0.009477929861650986	0.003453449991891233	0.007186735256570032	0.007784277108912789	0.0015326264730650507	0.008877032300675295	0.009459375260749877	0.04912324257945673
TG>GA	0.004893384467584128	0.001909721458126702	0.011470966065791188	0.006278744481761578	0.010227156439775337	0.00678194006871312	0.016658093207011462	0.01775063787540489	0.014056984565258404
TG>GC	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
TG>GT	0.058316849979410106	0.029673294821995596	0.013808326571451339	0.0017048292083909561	0.00945443454190256	0.022372909168986776	0.01477766923001902	0.028219183087136272	0.013039047227172884
TT>AA	0.024762905797598222	0.02159104061186299	0.030772971263894364	0.00896843584884967	0.017326756643226554	0.016283221189638583	0.021300792881264737	0.048111703022673744	0.01451798075593246
TT>AC	0.01042127898822457	0.0002451662702003222	0.004210710370910178	0.0013592258209772013	0.018323610441762787	2.2117249017128415e-05	0.0032268764028145825	0.0012996468599919808	0.021524573329055555
TT>AG	0.005466273684655631	2.9365809450343505e-05	0.0024633745406077876	0.002802659016728057	0.014145145295084944	2.3647968710633904e-05	0.0025408659939300726	0.0007674685175717854	0.020760975195832997
TT>CA	0.005195515015477952	0.00012109660695045931	0.0028928596589267385	0.002408706615703977	0.011015831335286067	2.4195294174660374e-05	0.002286025049912155	0.002647237878001505	0.019872792827281955
TT>CC	0.0049932649999951196	2.9983441787777565e-05	0.0003868586257016204	3.1312095593420964e-05	0.00013637984910272916	2.997535847043764e-05	6.266769214335e-05	0.0002021963117218206	2.7195587671826617e-05
TT>CG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
TT>GA	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
TT>GC	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
TT>GG	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
