NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
58	8.486	177.953	2.685	95.36	3.187	0.188	20000.0
59	8.89	175.97	2.865	94.19	3.051	0.238	20000.0
60	8.453	176.662	2.844	94.655	2.988	0.228	40000.0
61	7.845	175.765	2.515	93.993	3.07	0.23	20000.0
62	8.703	178.88	2.758	94.84	3.203	0.204	40000.0
63	8.372	175.938	2.691	93.735	3.022	0.253	20000.0
64	8.38	176.606	2.704	93.895	3.097	0.237	20000.0
65	8.135	176.147	2.514	93.761	3.008	0.249	40000.0
66	8.528	175.419	2.729	93.869	3.004	0.254	60000.0
67	8.32	175.518	2.59	94.383	3.005	0.228	60000.0
68	9.184	179.326	2.936	96.783	3.222	0.169	20000.0
69	8.201	175.42	2.683	93.76	3.02	0.251	80000.0
70	8.268	177.563	2.531	94.944	3.137	0.201	40000.0
71	8.245	173.786	2.679	93.903	2.89	0.252	20000.0
72	8.292	177.393	2.58	94.485	3.107	0.217	40000.0
73	8.464	176.973	2.682	94.548	3.065	0.222	20000.0
