Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
IRF4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"LSIRF, MUM1"
JUN	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"AP-1, c-Jun"
KDM5A	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"JARID1A, RBBP2"
KDR	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CD309, FLK1, VEGFR, VEGFR2"
KEAP1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"INrf2, KIAA0132, KLHL19, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454"
KMT2A	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"ALL-1, CXXC7, HRX, HTRX1, MLL, MLL1A, TRX1"
KMT2C	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	"HALR, KIAA1506, MLL3"
MAP2K2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"MEK2, PRKMK2"
MAP2K4	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"JNKK1, MEK4, MKK4, PRKMK4, SERK1"
MAPK1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"ERK2, MAPK2, PRKM1, PRKM2, p41mapk"
MDM2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"HDM2, MGC5370"
MDM4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"HDMX, MDMX"
MITF	6	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	"MI, WS2, WS2A, bHLHe32"
MTOR	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1"
MUTYH	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	MYH
MYC	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"MYCC, bHLHe39, c-Myc"
MYCL	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"LMYC, MYCL1, bHLHe38"
MYCN	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"MYCNOT, N-myc, NMYC, bHLHe37"
NKX2-1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"BCH, NKX2A, TITF1, TTF-1"
NSD2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"KMT3G, MMSET, WHSC1"
NSD3	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	"FLJ20353, KMT3F, WHISTLE, WHSC1L1"
NTRK1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"MTC, TRKA"
NTRK3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	TRKC
PALB2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FANCN, FLJ21816"
PDCD1LG2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"B7-DC, Btdc, CD273, PD-L2, PDL2, bA574F11.2"
PDGFRB	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CD140b, JTK12, PDGFR, PDGFR1"
PHF6	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	"BFLS, BORJ, CENP-31, KIAA1823, MGC14797"
PIM1	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	PIM
PRKAR1A	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	"CNC1, PRKAR1, TSE1"
RAD21	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"KIAA0078, SCC1, hHR21"
RAF1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CRAF, Raf-1, c-Raf"
RARA	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	NR1B1
ROS1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"MCF3, ROS, c-ros-1"
RUNX1	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	"AML1, AMLCR1, CBFA2, PEBP2A2"
SDHA	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FP, SDH2, SDHF"
SDHB	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"SDH, SDH1"
SDHC	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"CYB560, PGL3, cybL"
SDHD	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"PGL, PGL1, cybS"
SOX2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
SPEN	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"KIAA0929, MINT, RBM15C, SHARP"
SRC	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"ASV, SRC1, c-src"
SRSF2	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	"PR264, SC-35, SC35, SFRS2, SFRS2A"
STAT3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	APRF
SUFU	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"PRO1280, SUFUH, SUFUXL"
SYK	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
TENT5C	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FAM46C, FLJ20202"
