Gene	occurrence	OncoKB	Oncogene	TSG
LATS2	26524	4	Yes	No	Yes
LCK	3932	3	Yes	Yes	No
LGR5	8549	1	Yes	Yes	No
LMO1	4004	5	Yes	Yes	No
LMO2	4005	3	Yes	Yes	No
LRP5	4041	1	Yes	Yes	Yes
LRP6	4040	1	Yes	Yes	No
LTB	4050	2	Yes	Yes	Yes
LTK	4058	2	Yes	Yes	No
LYN	4067	4	Yes	Yes	No
LZTR1	8216	3	Yes	No	Yes
MAD2L2	10459	2	Yes	Yes	Yes
MAF	4094	4	Yes	No	No
MAFB	9935	3	Yes	Yes	No
MALT1	10892	5	Yes	No	No
MAP2K1	5604	7	Yes	Yes	No
MAP2K2	5605	6	Yes	Yes	No
MAP2K4	6416	6	Yes	No	Yes
MAP3K1	4214	7	Yes	No	Yes
MAP3K13	9175	5	Yes	Yes	No
MAP3K14	9020	4	Yes	Yes	No
MAP4K4	9448	1	Yes	Yes	No
MAPK1	5594	6	Yes	Yes	No
MAPK3	5595	3	Yes	Yes	No
MAPKAP1	79109	3	Yes	No	No
MAX	4149	4	Yes	No	Yes
MBD6	114785	1	Yes	No	Yes
MCL1	4170	5	Yes	Yes	No
MDC1	9656	3	Yes	No	No
MDM2	4193	6	Yes	Yes	No
MDM4	4194	6	Yes	Yes	No
MECOM	2122	3	Yes	Yes	No
MED12	9968	7	Yes	Yes	Yes
MEF2B	100271849	5	Yes	Yes	No
MEF2D	4209	1	Yes	Yes	No
MEN1	4221	7	Yes	No	Yes
MET	4233	7	Yes	Yes	No
MGA	23269	3	Yes	No	Yes
MGAM	8972	2	Yes	Yes	No
MIDEAS	91748	1	Yes	No	Yes
MITF	4286	6	Yes	Yes	Yes
MKI67	4288	2	Yes	Yes	No
MLH1	4292	7	Yes	No	Yes
MLLT1	4298	4	Yes	No	No
MLLT10	8028	3	Yes	Yes	No
MLLT3	4300	3	Yes	Yes	No
MOB3B	79817	2	Yes	No	Yes
MPEG1	219972	2	Yes	No	No
MPL	4352	7	Yes	Yes	No
MRE11	4361	5	Yes	No	Yes
MSH2	4436	7	Yes	No	Yes
MSH3	4437	5	Yes	No	Yes
MSH6	2956	7	Yes	No	Yes
MSI1	4440	3	Yes	Yes	No
MSI2	124540	5	Yes	Yes	No
MST1	4485	3	Yes	No	Yes
MST1R	4486	4	Yes	Yes	No
MTAP	4507	3	Yes	No	Yes
MTOR	2475	6	Yes	Yes	No
MUTYH	4595	6	Yes	No	Yes
MYBL1	4603	1	Yes	Yes	No
MYC	4609	6	Yes	Yes	No
MYCL	4610	6	Yes	Yes	No
MYCN	4613	6	Yes	Yes	No
MYD88	4615	7	Yes	Yes	No
MYH11	4629	3	Yes	No	Yes
MYOD1	4654	4	Yes	No	Yes
NADK	65220	2	Yes	Yes	No
NBN	4683	5	Yes	No	Yes
NCOA3	8202	3	Yes	Yes	No
NCOR1	9611	5	Yes	No	Yes
NCOR2	9612	4	Yes	No	No
NCSTN	23385	3	Yes	Yes	No
NEGR1	257194	3	Yes	No	No
NF1	4763	7	Yes	No	Yes
NF2	4771	7	Yes	No	Yes
NFE2	4778	2	Yes	Yes	No
NFE2L2	4780	7	Yes	Yes	No
NFKBIA	4792	5	Yes	No	Yes
NKX2-1	7080	6	Yes	Yes	No
NKX3-1	4824	3	Yes	No	Yes
NOTCH1	4851	7	Yes	Yes	Yes
NOTCH2	4853	7	Yes	Yes	Yes
NOTCH3	4854	4	Yes	Yes	Yes
NOTCH4	4855	3	Yes	Yes	Yes
NPM1	4869	7	Yes	No	Yes
NR4A3	8013	3	Yes	Yes	No
NRAS	4893	7	Yes	Yes	No
NRG1	3084	2	Yes	Yes	No
NSD1	64324	5	Yes	Yes	Yes
NSD2	7468	6	Yes	Yes	No
NSD3	54904	6	Yes	No	No
NT5C2	22978	5	Yes	Yes	No
