MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
CT>GG	1.652352929598644e-07	0.000971890593544211	0.024534359596207908	0.00788154524940512	0.007897874250084619	0.06483301466097031	0.011241677389801051
CT>TA	0.02321768578038484	0.017354510776493068	2.2714773763254925e-05	0.0010408516190381079	0.00011888745877229212	0.0003534642331251803	2.2665538892852055e-05
CT>TC	0.009809993844860133	1.1389636651383857e-06	0.03268508548721815	0.06056796910839112	0.014144659844231926	0.04840528768312329	0.05229415438390808
CT>TG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
GC>AA	0.028775600557268882	0.0283475461095226	0.041930685076580654	0.024083595145539323	0.007916478677393186	0.01878575128396377	0.4051193151724988
GC>AG	0.023579356001453534	9.537012581128944e-07	0.008098032019823233	0.04421047056170096	0.05479978169888722	0.022777450553368946	0.017459948309492504
GC>AT	0.00016073956040737247	0.001809544972352405	0.012338322619056843	0.017830346546529475	0.016342597027479974	0.04535536843319365	0.021257017034040905
GC>CA	0.010275447949013979	0.014721060355125033	2.6322222474846057e-05	0.0004778513276977492	1.8975723048697545e-05	0.0007622591715130511	2.670138746907469e-05
GC>CG	0.005008502518853959	3.2162773353089367e-06	3.0567160638383936e-05	0.0001903810063700462	2.384281243564601e-05	0.00016974925738452384	3.0787829691689696e-05
GC>TA	0.0052029859078089125	0.0008823512901494013	0.006748099923392488	0.006355743195863397	0.008838398732567173	0.019700282214333332	0.009083420855543964
TA>AT	8.256948116172137e-07	0.0007574350451610101	0.003665766845591114	0.0019672295683964263	0.004587581644446907	0.01237245809039223	0.024435311533179363
TA>CG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TA>CT	0.005243379905317695	0.014983055303142851	0.010245139950119721	0.0030416517666131426	0.003236607212151954	0.011016853567106182	0.022611794965913434
TA>GC	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TA>GG	0.005484439611978189	3.0129321030614163e-06	3.0592758416787544e-05	8.267920943779927e-05	2.3905318027459543e-05	4.2710260181593185e-05	3.0824285909147874e-05
TA>GT	0.00010512138556196592	0.0007023982880178226	0.013691395989222883	0.006158240823187384	0.05253788915650091	0.013431504800780657	0.007310377771907497
TC>AA	0.038637549523600684	0.07281972683060928	0.5818394190818071	0.01783278336982753	0.0534969409745442	0.033304249042455665	0.03862359375375332
TC>AG	0.005875694546993486	2.0024235990843304e-06	0.02145750118651222	0.010887906798787057	0.0008861831533549491	0.004698344134352936	0.008038028364047704
TC>AT	0.027655995772264533	0.012170589170604143	0.01064195978409506	0.12695880207647356	0.1286553518426572	0.026163295217193815	0.018821905874281623
TC>CA	0.0042115962599292445	0.00019222271106151824	0.0015361926909608315	0.005909451541403996	0.03238338316327031	0.0013149099980273604	0.0017105759296704767
TC>CG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TC>CT	0.005332881219158631	0.019990876674576136	0.02094572588463105	0.011974526714173105	0.15559288452594525	0.023612687566916063	0.009147971870574532
TC>GA	0.0053300527893611616	3.1592134213553892e-06	3.048510805456317e-05	8.019114083936074e-05	2.372117889137826e-05	0.00025938722010096174	3.059804902022734e-05
TC>GG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TC>GT	0.0022009097426612793	0.0005167701437968882	0.0184714818127374	0.009866100503353575	0.01074989794422776	0.03949301701231696	0.03295549061994294
TG>AA	0.015839326437555316	0.00250287652351147	0.005921343228687874	0.013096005009835068	0.005455595268292939	0.03019356164709215	0.01025755828465657
TG>AC	7.907726856970498e-07	0.0001493054071724309	0.002702230222437267	0.00697302557972506	0.006239178409644391	0.027067726514029573	0.02014621448442657
TG>AT	0.03518200221799816	0.1093832721606475	0.0069643055776583114	0.007033019902538342	0.04210354043173983	0.01652763681800735	0.004051870819713078
TG>CA	0.005428169624909805	0.0009783058270771319	0.011766099681745277	0.010963207652934202	0.07626878039391016	0.040636441815655074	0.014296967915379212
TG>CC	0.005518501866784788	3.3921394324920584e-06	3.0482494021271124e-05	0.00022334715920777626	2.37433222770278e-05	0.00016912482029283639	3.003200413331797e-05
TG>CT	0.02884108228976629	0.0037815150206499835	0.007642602499217455	0.009369582214193315	0.010223052723649673	0.02188138180071654	0.006011408932954083
TG>GA	0.006033235497542311	0.0029654862297414297	0.00686258672762051	0.00908722848981256	0.009695083964116691	0.01941979154565672	0.008805716375699718
TG>GC	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TG>GT	0.05713365088491628	0.030077339505805867	0.0013129416107614596	0.013339614661660169	0.0066971236778597685	0.028693935780415885	0.01737967748864918
TT>AA	0.02768946318604776	0.018513725744503887	0.013894467671978746	0.0254273974988638	0.009234558577267243	0.022605866467909	0.028319073052589374
TT>AC	0.01021980012094417	1.6899835799044639e-06	0.0014091964846674899	0.005053098055760188	0.034502477168412045	0.001552390647368611	0.0016661627928351663
TT>AG	0.005330775255393554	0.00012867038899656792	0.0019333650685473458	0.0036196859471540675	0.03139425559787583	0.0006932783632311157	0.0013318743988645564
TT>CA	0.005171811836951452	0.0001286176534579653	0.0014371141868696924	0.0027665872871912712	0.02856824399084303	0.0017215920405101316	0.0012172491578371592
TT>CC	0.005057626435958866	3.4261111373723453e-06	3.0497197744807636e-05	0.00012798152055523815	2.372816746856188e-05	0.00015124028365335107	3.0618480445809836e-05
TT>CG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TT>GA	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
TT>GC	1.5728533600167793e-06	4.3296633049294544e-06	3.23356881744985e-05	2.8215473090256182e-05	2.7207470918142462e-05	4.3570726055577325e-05	3.309189555693593e-05
TT>GG	1.5728533600167793e-06	4.3296633049294544e-06	3.23356881744985e-05	2.8215473090256182e-05	2.7207470918142462e-05	4.3570726055577325e-05	3.309189555693593e-05
